wikidata_uri,codistat
http://www.wikidata.org/entity/Q19946,004067
http://www.wikidata.org/entity/Q19948,004068
http://www.wikidata.org/entity/Q19951,004069
http://www.wikidata.org/entity/Q19954,004070
http://www.wikidata.org/entity/Q19957,004071
http://www.wikidata.org/entity/Q19961,004072
http://www.wikidata.org/entity/Q19963,004073
http://www.wikidata.org/entity/Q19968,004074
http://www.wikidata.org/entity/Q19971,004075
http://www.wikidata.org/entity/Q19972,004076
http://www.wikidata.org/entity/Q20006,004077
http://www.wikidata.org/entity/Q5968,004078
http://www.wikidata.org/entity/Q20013,004079
http://www.wikidata.org/entity/Q20017,004080
http://www.wikidata.org/entity/Q20022,004081
http://www.wikidata.org/entity/Q20025,004082
http://www.wikidata.org/entity/Q18208,004083
http://www.wikidata.org/entity/Q20028,004084
http://www.wikidata.org/entity/Q20036,004085
http://www.wikidata.org/entity/Q20037,004086
http://www.wikidata.org/entity/Q20040,004087
http://www.wikidata.org/entity/Q20049,004088
http://www.wikidata.org/entity/Q20050,004089
http://www.wikidata.org/entity/Q20056,004090
http://www.wikidata.org/entity/Q20059,004091
http://www.wikidata.org/entity/Q20062,004092
http://www.wikidata.org/entity/Q20067,004093
http://www.wikidata.org/entity/Q20089,004094
http://www.wikidata.org/entity/Q20090,004095
http://www.wikidata.org/entity/Q20092,004096
http://www.wikidata.org/entity/Q20093,004097
http://www.wikidata.org/entity/Q20094,004098
http://www.wikidata.org/entity/Q20096,004099
http://www.wikidata.org/entity/Q20099,004100
http://www.wikidata.org/entity/Q20105,004101
http://www.wikidata.org/entity/Q20107,004102
http://www.wikidata.org/entity/Q20108,004103
http://www.wikidata.org/entity/Q20111,004104
http://www.wikidata.org/entity/Q20109,004105
http://www.wikidata.org/entity/Q20112,004106
http://www.wikidata.org/entity/Q20114,004107
http://www.wikidata.org/entity/Q20115,004108
http://www.wikidata.org/entity/Q20116,004109
http://www.wikidata.org/entity/Q20120,004110
http://www.wikidata.org/entity/Q20122,004111
http://www.wikidata.org/entity/Q20123,004112
http://www.wikidata.org/entity/Q20125,004113
http://www.wikidata.org/entity/Q20128,004114
http://www.wikidata.org/entity/Q20130,004115
http://www.wikidata.org/entity/Q20131,004116
http://www.wikidata.org/entity/Q20132,004117
http://www.wikidata.org/entity/Q20166,004118
http://www.wikidata.org/entity/Q20168,004119
http://www.wikidata.org/entity/Q20169,004120
http://www.wikidata.org/entity/Q20170,004121
http://www.wikidata.org/entity/Q20177,004122
http://www.wikidata.org/entity/Q20179,004123
http://www.wikidata.org/entity/Q20180,004124
http://www.wikidata.org/entity/Q20181,004125
http://www.wikidata.org/entity/Q20182,004126
http://www.wikidata.org/entity/Q20184,004127
http://www.wikidata.org/entity/Q20185,004128
http://www.wikidata.org/entity/Q20186,004129
http://www.wikidata.org/entity/Q20188,004130
http://www.wikidata.org/entity/Q20190,004131
http://www.wikidata.org/entity/Q20191,004132
http://www.wikidata.org/entity/Q20229,004133
http://www.wikidata.org/entity/Q20197,004134
http://www.wikidata.org/entity/Q20193,004135
http://www.wikidata.org/entity/Q20199,004136
http://www.wikidata.org/entity/Q20201,004137
http://www.wikidata.org/entity/Q20203,004138
http://www.wikidata.org/entity/Q20208,004139
http://www.wikidata.org/entity/Q20210,004140
http://www.wikidata.org/entity/Q20217,004141
http://www.wikidata.org/entity/Q20226,004142
http://www.wikidata.org/entity/Q20232,004143
http://www.wikidata.org/entity/Q20238,004144
http://www.wikidata.org/entity/Q20241,004145
http://www.wikidata.org/entity/Q20244,004146
http://www.wikidata.org/entity/Q20247,004147
http://www.wikidata.org/entity/Q20251,004148
http://www.wikidata.org/entity/Q20254,004149
http://www.wikidata.org/entity/Q20258,004150
http://www.wikidata.org/entity/Q20261,004151
http://www.wikidata.org/entity/Q20268,004152
http://www.wikidata.org/entity/Q20272,004153
http://www.wikidata.org/entity/Q20276,004154
